job_id,job_title,company,location,salary_min,salary_max,job_type,experience_level,company_size,required_skills,posted_date,company_description,salary_avg
1,Research Analyst,DataFirst,Hyderabad,608744,1729065,Remote,Mid,200-500,"Excel, Tableau, Azure, TensorFlow, Machine Learning",2026-05-31,We are a technology company focused on data analytics and AI solutions.,1168904.5
2,ML Engineer,DataFirst,Mumbai,376898,1824939,Hybrid,Mid,10-50,"Docker, Azure, SQL, Power BI, DAX",2026-04-08,We are a technology company focused on data analytics and AI solutions.,1100918.5
3,Senior Data Analyst,DataFirst,Mumbai,755699,1674829,Onsite,Senior,200-500,"Spark, Python, TensorFlow, Kubernetes",2026-05-05,We are a technology company focused on data analytics and AI solutions.,1215264.0
4,Analytics Manager,StartupXYZ,Bangalore,449369,1188076,Remote,Mid,200-500,"Docker, Power BI, JavaScript, Visualization, Tableau, PyTorch",2026-03-08,We are a technology company focused on data analytics and AI solutions.,818722.5
5,Data Engineer,DataFlow,Chennai,330448,1460008,Remote,Senior,10-50,"Excel, AWS, Python, Kubernetes, DAX, SQL",2026-03-12,We are a technology company focused on data analytics and AI solutions.,895228.0
6,Research Analyst,Digital Solutions,Hyderabad,588316,1490493,Remote,Lead,50-200,"Visualization, TensorFlow, Power BI, Docker, Azure, Airflow",2026-04-19,We are a technology company focused on data analytics and AI solutions.,1039404.5
7,Data Analyst Junior,CloudSystems,Bangalore,736090,1768181,Onsite,Entry,200-500,"Kubernetes, SQL, AWS, DAX, Hadoop, Tableau",2026-04-09,We are a technology company focused on data analytics and AI solutions.,1252135.5
8,Business Analyst,CloudSystems,Bangalore,307657,1420347,Remote,Entry,50-200,"Kubernetes, Azure, Visualization, Tableau, JavaScript",2026-05-04,We are a technology company focused on data analytics and AI solutions.,864002.0
9,Research Analyst,DataFlow,Hyderabad,777602,1812092,Onsite,Mid,10-50,"Tableau, Docker, Python",2026-03-08,We are a technology company focused on data analytics and AI solutions.,1294847.0
10,Senior Data Analyst,ResearchLab,Bangalore,556689,1422605,Hybrid,Mid,10-50,"Google Cloud, PyTorch, Kubernetes, JavaScript, Visualization",2026-05-28,We are a technology company focused on data analytics and AI solutions.,989647.0
11,Senior Data Analyst,StartupXYZ,Delhi,718641,1525495,Hybrid,Mid,50-200,"Visualization, Excel, Docker",2026-03-19,We are a technology company focused on data analytics and AI solutions.,1122068.0
12,Analytics Manager,Tech Corp,Bangalore,719901,901459,Remote,Senior,500+,"TensorFlow, Hadoop, Visualization",2026-04-11,We are a technology company focused on data analytics and AI solutions.,810680.0
13,Data Engineer,DataFirst,Hyderabad,674999,1561985,Remote,Senior,10-50,"SQL, DAX, Spark, Tableau, Excel",2026-05-27,We are a technology company focused on data analytics and AI solutions.,1118492.0
14,ML Engineer,DataFirst,Bangalore,717794,1000422,Hybrid,Mid,200-500,"Machine Learning, Hadoop, SQL, R, Kubernetes",2026-04-10,We are a technology company focused on data analytics and AI solutions.,859108.0
15,Analytics Manager,DataFlow,Hyderabad,459903,1950096,Onsite,Mid,10-50,"Kubernetes, Python, Excel",2026-03-27,We are a technology company focused on data analytics and AI solutions.,1204999.5
16,Analytics Manager,ResearchLab,Pune,307906,1385560,Hybrid,Senior,50-200,"Excel, SQL, Machine Learning, AWS",2026-04-21,We are a technology company focused on data analytics and AI solutions.,846733.0
17,Business Analyst,CloudSystems,Hyderabad,623557,1547512,Hybrid,Lead,200-500,"Airflow, Python, Spark, JavaScript",2026-05-22,We are a technology company focused on data analytics and AI solutions.,1085534.5
18,Product Analyst,CloudSystems,Mumbai,354028,1316123,Remote,Senior,200-500,"Google Cloud, Hadoop, Kubernetes",2026-05-15,We are a technology company focused on data analytics and AI solutions.,835075.5
